Dataset,Accuracy,Precision,Recall,F1,Mean_Uncertainty,Uncertain_Count
BRISC,0.998,0.9974619289340102,1.0,0.9987293519695044,0.0014643773217223775,3
Nickparvar,0.75625,0.7751358695652174,0.9508333333333333,0.8540419161676647,0.011196822663284341,38
