Dataset,Accuracy,Precision,Recall,F1-Score,AUC-ROC
BRISC Test,0.996,1.0,0.9949109414758269,0.9974489795918368,1.0
Nickparvar Test,0.955,0.9645799011532126,0.9758333333333333,0.9701739850869926,0.9916479166666667
