Dataset,Accuracy,Precision,Recall,F1-Score,AUC-ROC
BRISC Test,0.996,0.9974554707379135,0.9974554707379135,0.9974554707379135,0.9999762193526908
Nickparvar Test,0.975625,0.9817427385892116,0.9858333333333333,0.9837837837837838,0.9931197916666666
